model,params,size_mb,fps,latency_ms,mAP,precision,recall,train_time_min
Simple Detector,1293729,4.939414978027344,195.21919842123145,5.1224470138549805,0.0033091778556505838,0.0399543378539334,0.06876227884329611,1.5250301798184713
Medium Detector,3350947,12.791915893554688,411.4429214188553,2.4304707845052085,0.004997732117772102,0.062034739300161935,0.04911591345949722,2.069757620493571
Complex Detector,40335508,153.90444946289062,63.91080157495033,15.64680735270182,0.0,0.0,0.0,4.186572523911794
